日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2017/5/10,良,82,277,35,111,9,30,0.55,76
2017/5/11,良,81,234,32,110,6,29,0.49,59
2017/5/12,优,37,20,15,34,7,21,0.39,57
2017/5/13,良,62,156,25,72,7,26,0.59,63
2017/5/14,优,39,25,17,36,7,16,0.44,72
2017/5/15,优,46,91,20,40,6,20,0.47,84
2017/5/16,优,49,87,23,47,7,26,0.5,77
2017/5/17,良,78,215,34,83,10,25,0.73,129
2017/5/18,良,77,170,36,96,10,29,0.6,116
2017/5/19,良,65,136,24,73,7,25,0.4,84
2017/5/20,良,61,137,26,71,6,21,0.4,74
2017/5/20,良,61,137,26,71,6,21,0.4,74
2017/5/21,优,34,26,19,31,6,23,0.37,64
2017/5/22,优,38,71,21,36,8,28,0.49,43
2017/5/23,优,40,60,14,35,6,21,0.41,78
2017/5/24,优,42,91,15,36,6,17,0.33,73
2017/5/25,优,35,20,13,26,5,18,0.37,62
2017/5/26,优,43,26,15,29,7,21,0.4,82
2017/5/27,良,60,62,19,41,7,26,0.42,111
2017/5/28,良,75,119,26,88,8,24,0.44,93
2017/5/29,良,52,49,16,55,5,18,0.36,65
2017/5/30,优,37,17,14,32,6,16,0.37,67
2017/5/31,优,40,44,15,35,8,16,0.35,63
2017/6/1,优,30,15,15,28,7,19,0.38,51
2017/6/2,优,34,37,13,28,6,21,0.38,60
2017/6/3,优,36,41,17,31,7,27,0.4,62
2017/6/4,优,42,77,17,36,7,46,0.42,71
2017/6/5,良,54,208,19,40,6,42,0.43,92
2017/6/6,良,85,359,30,100,6,39,0.49,102
2017/6/7,优,45,76,17,35,53,30,0.45,70
2017/6/8,优,34,35,14,30,4,28,0.47,59
2017/6/9,优,35,62,14,32,16,21,0.37,59
2017/6/10,优,32,62,15,30,7,24,0.45,44
2017/6/11,优,35,59,16,29,6,30,0.42,55
2017/6/12,良,52,192,21,49,9,56,0.56,55
2017/6/13,良,58,215,18,40,6,84,0.43,70
2017/6/14,良,58,198,24,57,13,42,0.44,78
2017/6/15,良,52,145,20,41,5,28,0.34,95
2017/6/16,良,51,145,16,41,7,28,0.38,91
2017/6/17,良,61,152,24,58,8,43,0.42,79
2017/6/18,优,48,90,17,32,8,26,0.35,92
2017/6/19,优,46,114,20,43,7,36,0.4,71
2017/6/20,优,36,50,21,33,7,26,0.44,60
2017/6/21,优,35,60,18,31,5,17,0.41,63
2017/6/22,优,41,118,18,31,8,19,0.45,69
2017/6/23,良,54,196,22,42,9,42,0.44,73
2017/6/24,良,66,275,23,45,9,49,0.42,96
2017/6/25,良,54,177,24,49,8,42,0.45,79
2017/6/26,良,53,168,24,47,7,41,0.45,68
2017/6/27,良,66,209,22,42,8,16,0.43,116
2017/6/28,良,77,257,30,63,9,16,0.57,131
2017/6/29,良,83,269,46,89,9,17,0.73,140
2017/6/30,良,54,178,30,53,7,19,0.53,80
2017/7/1,良,51,175,19,35,7,16,0.44,94
2017/7/2,优,45,161,21,38,7,23,0.5,72
2017/7/3,良,53,185,22,45,7,32,0.6,69
2017/7/4,良,60,211,24,42,8,34,0.43,85
2017/7/5,良,62,225,24,44,8,31,0.46,95
2017/7/6,良,65,277,32,56,21,27,0.59,117
2017/7/7,良,66,284,33,56,6,13,0.59,102
2017/7/8,良,69,279,48,53,6,18,0.66,75
2017/7/9,良,76,313,44,66,6,18,0.65,101
2017/7/10,优,47,170,23,39,9,17,0.45,74
2017/7/11,优,40,94,14,28,8,17,0.39,77
2017/7/12,优,41,77,15,40,6,17,0.38,76
2017/7/13,优,50,140,18,34,6,17,0.48,90
2017/7/14,优,39,70,17,28,9,23,0.43,61
2017/7/15,优,41,113,14,30,8,20,0.62,64
2017/7/16,优,49,167,14,35,8,20,0.48,77
2017/7/17,良,60,230,22,45,6,23,0.55,104
2017/7/18,良,71,294,22,58,7,24,0.61,101
2017/7/19,优,45,144,14,35,9,21,0.4,82
2017/7/20,优,39,101,16,36,6,26,0.33,39
2017/7/21,优,50,178,12,25,5,15,0.36,95
2017/7/22,良,57,213,13,25,6,12,0.39,108
2017/7/23,良,52,146,12,28,6,20,0.4,94
2017/7/24,优,42,85,16,30,7,15,0.38,80
2017/7/25,良,55,170,18,37,7,26,0.42,88
2017/7/26,优,40,56,17,37,6,47,0.51,70
2017/7/27,良,53,148,19,35,12,26,0.31,96
2017/7/28,良,57,190,14,29,6,25,0.43,92
2017/7/29,良,61,217,11,24,4,17,0.44,117
2017/7/30,良,78,278,15,34,5,26,0.54,125
2017/7/31,良,90,314,21,50,6,33,0.72,126
2017/8/1,良,58,233,30,51,12,19,0.62,99
2017/8/2,良,51,235,31,51,5,20,0.58,74
2017/8/3,优,36,83,16,27,4,10,0.49,60
2017/8/4,优,38,72,9,18,6,10,0.43,72
2017/8/5,优,40,79,9,24,5,15,0.43,76
2017/8/6,优,39,63,8,25,4,18,0.36,70
2017/8/7,优,34,40,10,24,5,15,0.44,63
2017/8/8,优,27,23,8,17,5,12,0.35,48
2017/8/9,优,40,111,13,29,8,24,0.48,63
2017/8/10,优,43,122,14,27,8,19,0.47,88
2017/8/11,优,49,152,14,28,7,20,0.48,93
2017/8/12,良,66,283,15,26,5,16,0.45,114
2017/8/13,良,56,246,21,38,7,25,0.48,89
2017/8/14,优,48,195,16,32,6,26,0.46,81
2017/8/15,优,35,93,10,27,4,19,0.36,59
2017/8/16,优,41,123,13,40,3,16,0.3,49
2017/8/17,优,36,82,14,34,7,13,0.34,54
2017/8/18,优,37,83,13,33,7,16,0.37,56
2017/8/19,优,50,195,12,42,6,29,0.32,60
2017/8/20,优,46,161,11,36,7,17,0.34,69
2017/8/21,良,51,157,26,51,8,18,0.59,76
2017/8/22,优,43,101,21,44,4,21,0.24,63
2017/8/23,优,43,140,12,23,4,25,0.47,83
2017/8/24,优,48,216,30,44,5,17,0.25,53
2017/8/25,优,50,216,28,53,3,12,0.15,53
2017/8/26,优,30,52,14,24,4,14,0.04,57
2017/8/27,优,40,122,13,37,4,14,0.16,72
